;; ;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Demonstrativo Mensal das Incidências Criminais 2016 - Registro de Ocorrência;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Áreas   \   Períodos;;M         E          S          E          S;;;;;;;;;;;;TOTAL;
;UOp;UNIDADES POLICIAIS;JAN ;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;;
;5º BPM;001a. Praça Mauá; 414 ; 650 ; 339 ; 356 ; 404 ; 341 ; 486 ; 687 ; 522 ; 494 ; 510 ; 630 ;5.833;
;5º BPM;004a. Praça da República; 1.055 ; 1.186 ; 1.094 ; 923 ; 880 ; 982 ; 973 ; 1.231 ; 1.049 ; 846 ; 877 ; 792 ; 11.888 ;
;5º BPM;005a. Mem de Sá ; 1.278 ; 1.758 ; 1.060 ; 1.138 ; 1.105 ; 1.002 ; 1.214 ; 1.750 ; 1.229 ; 1.184 ; 1.109 ; 1.170 ; 14.997 ;
;4º BPM;006a. Cidade Nova; 600 ; 708 ; 600 ; 528 ; 590 ; 608 ; 609 ; 566 ; 603 ; 717 ; 596 ; 576 ; 7.301 ;
;5º BPM;007a. Santa Tereza; 224 ; 317 ; 213 ; 167 ; 204 ; 203 ; 184 ; 182 ; 192 ; 197 ; 199 ; 196 ; 2.478 ;
;2º BPM;009a. Catete; 928 ; 953 ; 766 ; 714 ; 715 ; 748 ; 772 ; 834 ; 723 ; 783 ; 687 ; 725 ; 9.348 ;
;2º BPM;010a. Botafogo; 654 ; 764 ; 714 ; 704 ; 693 ; 696 ; 685 ; 795 ; 698 ; 728 ; 658 ; 733 ; 8.522 ;
;23º BPM;011a. Rocinha; 123 ; 114 ; 105 ; 139 ; 145 ; 151 ; 158 ; 158 ; 170 ; 223 ; 124 ; 117 ; 1.727 ;
;19º BPM;012a. Copacabana; 1.545 ; 1.285 ; 916 ; 891 ; 813 ; 738 ; 801 ; 1.463 ; 855 ; 891 ; 773 ; 1.029 ; 12.000 ;
;19º BPM;013a. Ipanema; 515 ; 663 ; 386 ; 374 ; 386 ; 376 ; 399 ; 573 ; 403 ; 446 ; 414 ; 473 ; 5.408 ;
;23º BPM;014a. Leblon; 1.118 ; 1.888 ; 675 ; 808 ; 681 ; 601 ; 708 ; 1.058 ; 683 ; 766 ; 727 ; 861 ; 10.574 ;
;23º BPM;015a. Gávea; 386 ; 378 ; 338 ; 293 ; 297 ; 315 ; 296 ; 356 ; 296 ; 302 ; 288 ; 280 ; 3.825 ;
;31º BPM;016a. Barra da Tijuca; 1.187 ; 1.172 ; 1.167 ; 1.123 ; 1.107 ; 1.147 ; 1.043 ; 1.271 ; 1.229 ; 1.045 ; 1.163 ; 1.081 ; 13.735 ;
;4º BPM;017a. São Cristóvão; 811 ; 713 ; 803 ; 779 ; 731 ; 687 ; 653 ; 690 ; 683 ; 689 ; 720 ; 659 ; 8.618 ;
;4º BPM;018a. Praça da Bandeira; 555 ; 617 ; 722 ; 562 ; 655 ; 635 ; 605 ; 684 ; 546 ; 697 ; 687 ; 659 ; 7.624 ;
;6º BPM;019a. Tijuca; 688 ; 740 ; 726 ; 700 ; 657 ; 743 ; 758 ; 673 ; 624 ; 680 ; 651 ; 751 ; 8.391 ;
;6º BPM;020a. Grajaú; 594 ; 585 ; 584 ; 592 ; 579 ; 617 ; 994 ; 1.270 ; 615 ; 707 ; 623 ; 641 ; 8.401 ;
;22º BPM;021a. Bonsucesso; 1.188 ; 1.118 ; 1.399 ; 1.329 ; 1.326 ; 1.392 ; 1.418 ; 1.402 ; 1.356 ; 1.430 ; 1.525 ; 1.377 ; 16.260 ;
;16º BPM;022a. Penha; 741 ; 787 ; 835 ; 762 ; 832 ; 850 ; 821 ; 919 ; 816 ; 865 ; 799 ; 765 ; 9.792 ;
;3º BPM;023a. Meier; 669 ; 729 ; 713 ; 710 ; 709 ; 718 ; 748 ; 667 ; 703 ; 701 ; 653 ; 564 ; 8.284 ;
;3º BPM;024a. Piedade; 532 ; 491 ; 478 ; 512 ; 561 ; 494 ; 533 ; 537 ; 549 ; 527 ; 543 ; 469 ; 6.226 ;
;3º BPM;025a. Engenho Novo; 612 ; 587 ; 725 ; 651 ; 600 ; 602 ; 634 ; 679 ; 1.169 ; 860 ; 836 ; 843 ; 8.798 ;
;3º BPM;026a. Todos os Santos; 601 ; 530 ; 549 ; 542 ; 521 ; 471 ; 528 ; 471 ; 520 ; 453 ; 480 ; 494 ; 6.160 ;
;41º BPM;027a. Vicente de Carvalho; 998 ; 1.045 ; 1.103 ; 980 ; 1.054 ; 1.051 ; 1.159 ; 966 ; 959 ; 1.178 ; 1.008 ; 1.019 ; 12.520 ;
;9º BPM;028a. Campinho; 965 ; 928 ; 853 ; 805 ; 768 ; 741 ; 764 ; 700 ; 703 ; 754 ; 694 ; 688 ; 9.363 ;
;9º BPM;029a. Madureira; 1.020 ; 960 ; 1.001 ; 914 ; 912 ; 1.028 ; 988 ; 958 ; 937 ; 955 ; 945 ; 968 ; 11.586 ;
;9º BPM;030a. Marechal Hermes; 524 ; 556 ; 564 ; 482 ; 532 ; 552 ; 505 ; 485 ; 517 ; 492 ; 544 ; 520 ; 6.273 ;
;41º BPM;031a. Ricardo Albuquerque; 634 ; 679 ; 690 ; 642 ; 766 ; 762 ; 751 ; 804 ; 839 ; 937 ; 909 ; 936 ; 9.349 ;
;18º BPM;032a. Taquara; 1.306 ; 1.346 ; 1.391 ; 1.400 ; 1.296 ; 1.300 ; 1.241 ; 1.271 ; 1.222 ; 1.282 ; 1.256 ; 1.209 ; 15.520 ;
;14º BPM;033a. Realengo ; 1.024 ; 919 ; 1.031 ; 756 ; 836 ; 836 ; 847 ; 1.044 ; 962 ; 984 ; 970 ; 945 ; 11.154 ;
;14º BPM;034a. Bangu ; 1.467 ; 1.398 ; 1.436 ; 1.381 ; 1.431 ; 1.529 ; 1.534 ; 1.499 ; 1.557 ; 1.572 ; 1.584 ; 1.648 ; 18.036 ;
;40º BPM;035a. Campo Grande; 1.825 ; 1.640 ; 1.816 ; 1.650 ; 1.683 ; 1.675 ; 1.744 ; 1.844 ; 2.040 ; 2.203 ; 2.048 ; 2.083 ; 22.251 ;
;27º BPM;036a. Santa Cruz; 964 ; 971 ; 1.025 ; 774 ; 874 ; 836 ; 984 ; 932 ; 944 ; 987 ; 957 ; 885 ; 11.133 ;
;17º BPM;037a. Ilha do Governador; 772 ; 769 ; 764 ; 697 ; 779 ; 662 ; 709 ; 697 ; 673 ; 620 ; 629 ; 624 ; 8.395 ;
;16º BPM;038a. Braz de Pina; 785 ; 755 ; 694 ; 704 ; 869 ; 824 ; 744 ; 809 ; 715 ; 863 ; 803 ; 816 ; 9.381 ;
;41º BPM;039a. Pavuna; 857 ; 854 ; 1.020 ; 880 ; 958 ; 994 ; 876 ; 894 ; 1.002 ; 1.022 ; 1.091 ; 1.034 ; 11.482 ;
;9º BPM;040a. Honório Gurgel; 705 ; 760 ; 921 ; 733 ; 812 ; 786 ; 759 ; 705 ; 789 ; 863 ; 883 ; 931 ; 9.647 ;
;18º BPM;041a. Tanque; 492 ; 480 ; 484 ; 481 ; 498 ; 457 ; 539 ; 493 ; 522 ; 564 ; 499 ; 469 ; 5.978 ;
;31º BPM;042a. Recreio; 849 ; 907 ; 797 ; 712 ; 652 ; 663 ; 665 ; 960 ; 811 ; 675 ; 797 ; 854 ; 9.342 ;
;27º BPM;043a. Pedra de Guaratiba ; 566 ; 517 ; 551 ; 443 ; 442 ; 457 ; 475 ; 462 ; 444 ; 419 ; 456 ; 415 ; 5.647 ;
;3º BPM;044a. Inhaúma ; 608 ; 630 ; 605 ; 561 ; 649 ; 532 ; 488 ; 525 ; 578 ; 597 ; 515 ; 545 ; 6.833 ;
;16º BPM;045a. Alemão; 131 ; 109 ; 102 ; 93 ; 96 ; 103 ; 104 ; 100 ; 61 ; 90 ; 56 ; 83 ; 1.128 ;
;24º BPM;048a. Seropédica; 202 ; 226 ; 299 ; 271 ; 270 ; 312 ; 406 ; 294 ; 285 ; 272 ; 246 ; 234 ; 3.317 ;
;24º BPM;050a. Itaguaí; 589 ; 459 ; 536 ; 413 ; 419 ; 477 ; 421 ; 452 ; 453 ; 504 ; 468 ; 388 ; 5.579 ;
;24º BPM;051a. Paracambí; 129 ; 171 ; 166 ; 156 ; 160 ; 190 ; 154 ; 168 ; 174 ; 156 ; 154 ; 142 ; 1.920 ;
;20º BPM;052a. Nova Iguaçu; 950 ; 979 ; 1.009 ; 1.026 ; 1.004 ; 1.075 ; 1.064 ; 1.005 ; 1.131 ; 1.201 ; 1.211 ; 1.102 ; 12.757 ;
;20º BPM;053a. Mesquita; 836 ; 795 ; 788 ; 797 ; 781 ; 758 ; 748 ; 818 ; 875 ; 924 ; 890 ; 820 ; 9.830 ;
;39º BPM;054a. Belford Roxo; 1.028 ; 995 ; 1.061 ; 1.114 ; 1.140 ; 1.139 ; 1.112 ; 1.161 ; 1.337 ; 1.483 ; 1.345 ; 1.323 ; 14.238 ;
;24º BPM;055a. Queimados; 545 ; 561 ; 597 ; 605 ; 615 ; 589 ; 642 ; 586 ; 797 ; 587 ; 572 ; 555 ; 7.251 ;
;20º BPM;056a. Comendador Soares; 825 ; 814 ; 954 ; 897 ; 964 ; 932 ; 858 ; 844 ; 864 ; 975 ; 871 ; 890 ; 10.688 ;
;20º BPM;057a. Nilópolis; 825 ; 875 ; 795 ; 709 ; 660 ; 778 ; 717 ; 840 ; 806 ; 885 ; 858 ; 863 ; 9.611 ;
;20º BPM;058a. Posse; 1.166 ; 1.226 ; 1.295 ; 1.291 ; 1.284 ; 1.109 ; 1.213 ; 1.104 ; 1.176 ; 1.377 ; 1.213 ; 1.381 ; 14.835 ;
;15º BPM;059a. Duque de Caxias; 2.091 ; 1.873 ; 1.941 ; 1.883 ; 1.990 ; 1.877 ; 2.161 ; 2.024 ; 1.956 ; 2.163 ; 1.793 ; 1.963 ; 23.715 ;
;15º BPM;060a. Campos Elíseos ; 767 ; 713 ; 754 ; 719 ; 711 ; 803 ; 749 ; 721 ; 755 ; 770 ; 843 ; 895 ; 9.200 ;
;15º BPM;061a. Xerém ; 168 ; 179 ; 158 ; 173 ; 165 ; 185 ; 170 ; 177 ; 169 ; 162 ; 151 ; 173 ; 2.030 ;
;15º BPM;062a. Imbariê; 443 ; 491 ; 531 ; 448 ; 463 ; 492 ; 459 ; 536 ; 511 ; 527 ; 548 ; 555 ; 6.004 ;
;24º BPM;063a. Japerí ; 309 ; 343 ; 322 ; 286 ; 292 ; 319 ; 300 ; 245 ; 322 ; 290 ; 289 ; 275 ; 3.592 ;
;21º BPM;064a. Vilar dos Teles; 1.801 ; 1.703 ; 1.789 ; 1.679 ; 1.869 ; 1.896 ; 1.856 ; 1.903 ; 1.858 ; 2.148 ; 1.894 ; 1.807 ; 22.203 ;
;34º BPM;065a. Magé ; 310 ; 302 ; 324 ; 295 ; 302 ; 280 ; 293 ; 226 ; 251 ; 280 ; 269 ; 287 ; 3.419 ;
;34º BPM;066a. Piabetá; 446 ; 474 ; 488 ; 442 ; 452 ; 443 ; 389 ; 423 ; 431 ; 400 ; 419 ; 505 ; 5.312 ;
;34º BPM;067a. Guapimirim; 185 ; 188 ; 185 ; 180 ; 165 ; 210 ; 173 ; 174 ; 191 ; 252 ; 171 ; 189 ; 2.263 ;
;35º BPM;070a. Tanguá; 87 ; 73 ; 91 ; 77 ; 84 ; 97 ; 69 ; 82 ; 80 ; 79 ; 98 ; 76 ; 993 ;
;35º BPM;071a. Itaboraí; 810 ; 692 ; 755 ; 739 ; 761 ; 741 ; 764 ; 837 ; 830 ; 869 ; 752 ; 734 ; 9.284 ;
;7º BPM;072a. São Gonçalo; 1.076 ; 1.109 ; 1.140 ; 1.035 ; 1.106 ; 1.063 ; 1.269 ; 1.361 ; 1.460 ; 1.498 ; 1.547 ; 1.326 ; 14.990 ;
;7º BPM;073a. Neves; 864 ; 755 ; 992 ; 839 ; 842 ; 931 ; 891 ; 841 ; 983 ; 1.014 ; 972 ; 916 ; 10.840 ;
;7º BPM;074a. Alcantara; 1.258 ; 1.258 ; 1.370 ; 1.329 ; 1.389 ; 1.464 ; 1.277 ; 1.309 ; 1.160 ; 1.379 ; 1.223 ; 1.204 ; 15.620 ;
;7º BPM;075a. Rio do Ouro; 633 ; 615 ; 640 ; 581 ; 518 ; 563 ; 603 ; 617 ; 639 ; 651 ; 561 ; 547 ; 7.168 ;
;12º BPM;076a. Niterói - Centro; 794 ; 665 ; 782 ; 763 ; 843 ; 749 ; 767 ; 833 ; 791 ; 807 ; 765 ; 746 ; 9.305 ;
;12º BPM;077a. Icaraí; 528 ; 575 ; 543 ; 448 ; 462 ; 410 ; 479 ; 522 ; 480 ; 492 ; 528 ; 471 ; 5.938 ;
;12º BPM;078a. Fonseca; 508 ; 511 ; 538 ; 537 ; 497 ; 461 ; 514 ; 492 ; 557 ; 558 ; 552 ; 599 ; 6.324 ;
;12º BPM;079a. Jurujuba; 284 ; 275 ; 288 ; 309 ; 282 ; 262 ; 235 ; 293 ; 265 ; 335 ; 269 ; 228 ; 3.325 ;
;12º BPM;081a. Itaipú; 393 ; 375 ; 365 ; 388 ; 357 ; 340 ; 353 ; 369 ; 336 ; 367 ; 308 ; 370 ; 4.321 ;
;12º BPM;082a. Maricá; 642 ; 640 ; 580 ; 551 ; 596 ; 558 ; 576 ; 582 ; 584 ; 709 ; 597 ; 585 ; 7.200 ;
;10º BPM;087a. Paty de Alferes ( a inaugurar); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; . ;; -   ;
;10º BPM;088a. Barra do Piraí; 231 ; 230 ; 251 ; 211 ; 240 ; 212 ; 198 ; 216 ; 194 ; 220 ; 200 ; 222 ; 2.625 ;
;37º BPM;089a. Resende; 452 ; 424 ; 446 ; 416 ; 361 ; 355 ; 433 ; 394 ; 440 ; 443 ; 368 ; 339 ; 4.871 ;
;28º BPM;090a. Barra Mansa; 417 ; 407 ; 432 ; 334 ; 425 ; 422 ; 425 ; 402 ; 438 ; 452 ; 401 ; 404 ; 4.959 ;
;10º BPM;091a. Valença; 144 ; 133 ; 175 ; 141 ; 161 ; 117 ; 147 ; 143 ; 129 ; 150 ; 122 ; 137 ; 1.699 ;
;10º BPM;092a. Rio das Flores; 22 ; 22 ; 23 ; 25 ; 28 ; 26 ; 27 ; 28 ; 28 ; 38 ; 34 ; 27 ; 328 ;
;28º BPM;093a. Volta Redonda; 688 ; 628 ; 713 ; 833 ; 730 ; 673 ; 693 ; 689 ; 657 ; 632 ; 613 ; 592 ; 8.141 ;
;10º BPM;094a. Piraí; 102 ; 107 ; 100 ; 100 ; 98 ; 81 ; 84 ; 97 ; 101 ; 83 ; 80 ; 72 ; 1.105 ;
;10º BPM;095a. Vassouras; 82 ; 88 ; 89 ; 79 ; 121 ; 95 ; 102 ; 120 ; 65 ; 117 ; 86 ; 113 ; 1.157 ;
;10º BPM;096a. Miguel Pereira; 164 ; 164 ; 182 ; 175 ; 204 ; 176 ; 162 ; 180 ; 180 ; 125 ; 128 ; 167 ; 2.007 ;
;10º BPM;097a. Mendes; 46 ; 45 ; 51 ; 56 ; 34 ; 39 ; 57 ; 41 ; 50 ; 44 ; 34 ; 47 ; 544 ;
;10º BPM;098a. Paulo de Frontin; 33 ; 41 ; 34 ; 44 ; 43 ; 45 ; 37 ; 34 ; 48 ; 47 ; 34 ; 47 ; 487 ;
;37º BPM;099a. Itatiaia; 124 ; 146 ; 126 ; 167 ; 127 ; 126 ; 105 ; 150 ; 99 ; 129 ; 134 ; 142 ; 1.575 ;
;37º BPM;100a. Porto Real; 101 ; 72 ; 79 ; 77 ; 88 ; 86 ; 80 ; 82 ; 93 ; 83 ; 68 ; 79 ; 988 ;
;28º BPM;101a. Pinheiral ; 69 ; 74 ; 98 ; 69 ; 89 ; 81 ; 63 ; 102 ; 75 ; 95 ; 94 ; 71 ; 980 ;
;30º BPM;104a. São J. Rio Preto; 44 ; 38 ; 53 ; 37 ; 43 ; 38 ; 52 ; 44 ; 40 ; 55 ; 49 ; 45 ; 538 ;
;26º BPM;105a. Petrópolis; 631 ; 598 ; 666 ; 646 ; 602 ; 643 ; 685 ; 619 ; 573 ; 616 ; 632 ; 567 ; 7.478 ;
;26º BPM;106a. Itaipava; 144 ; 186 ; 190 ; 170 ; 165 ; 188 ; 163 ; 161 ; 182 ; 173 ; 151 ; 164 ; 2.037 ;
;38º BPM;107a. Paraíba do Sul; 106 ; 86 ; 104 ; 81 ; 78 ; 83 ; 126 ; 117 ; 117 ; 138 ; 122 ; 116 ; 1.274 ;
;38º BPM;108a. Três Rios; 309 ; 376 ; 376 ; 401 ; 421 ; 319 ; 362 ; 394 ; 367 ; 402 ; 334 ; 358 ; 4.419 ;
;38º BPM;109a. Sapucaia; 54 ; 42 ; 61 ; 54 ; 78 ; 68 ; 73 ; 66 ; 55 ; 68 ; 55 ; 42 ; 716 ;
;30º BPM;110a. Teresópolis; 548 ; 608 ; 703 ; 581 ; 623 ; 606 ; 674 ; 634 ; 624 ; 681 ; 574 ; 567 ; 7.423 ;
;30º BPM;111a. Sumidouro; 31 ; 25 ; 36 ; 20 ; 16 ; 27 ; 33 ; 25 ; 33 ; 31 ; 24 ; 34 ; 335 ;
;30º BPM;112a. Carmo; 74 ; 61 ; 75 ; 56 ; 56 ; 76 ; 78 ; 58 ; 73 ; 83 ; 61 ; 54 ; 805 ;
;25º BPM;118a. Araruama; 492 ; 421 ; 433 ; 435 ; 451 ; 406 ; 484 ; 441 ; 420 ; 389 ; 369 ; 414 ; 5.155 ;
;35º BPM;119a. Rio Bonito ; 122 ; 125 ; 156 ; 133 ; 153 ; 149 ; 142 ; 138 ; 136 ; 177 ; 158 ; 141 ; 1.730 ;
;35º BPM;120a. Silva Jardim; 60 ; 54 ; 68 ; 51 ; 62 ; 52 ; 56 ; 44 ; 52 ; 72 ; 34 ; 49 ; 654 ;
;32º BPM;121a. Casimiro de Abreu; 102 ; 142 ; 122 ; 139 ; 139 ; 144 ; 124 ; 139 ; 128 ; 140 ; 97 ; 108 ; 1.524 ;
;32º BPM;122a. Conceição de Macabú; 53 ; 52 ; 50 ; 43 ; 62 ; 52 ; 30 ; 49 ; 48 ; 47 ; 43 ; 51 ; 580 ;
;32º BPM;123a. Macaé ; 993 ; 849 ; 937 ; 820 ; 829 ; 709 ; 802 ; 733 ; 795 ; 771 ; 715 ; 756 ; 9.709 ;
;25º BPM;124a. Saquarema; 269 ; 280 ; 242 ; 224 ; 269 ; 274 ; 293 ; 269 ; 260 ; 256 ; 240 ; 274 ; 3.150 ;
;25º BPM;125a. São Pedro da Aldeia; 253 ; 232 ; 265 ; 223 ; 242 ; 226 ; 284 ; 253 ; 265 ; 244 ; 237 ; 283 ; 3.007 ;
;25º BPM;126a. Cabo Frio ; 851 ; 912 ; 788 ; 866 ; 805 ; 655 ; 679 ; 669 ; 686 ; 685 ; 631 ; 650 ; 8.877 ;
;25º BPM;127a. Búzios; 326 ; 271 ; 258 ; 225 ; 198 ; 247 ; 218 ; 203 ; 183 ; 194 ; 199 ; 223 ; 2.745 ;
;32º BPM;128a. Rio das Ostras; 639 ; 634 ; 648 ; 585 ; 563 ; 526 ; 590 ; 499 ; 557 ; 586 ; 524 ; 514 ; 6.865 ;
;25º BPM;129a. Iguaba ; 87 ; 97 ; 76 ; 94 ; 85 ; 88 ; 149 ; 133 ; 113 ; 87 ; 79 ; 75 ; 1.163 ;
;32º BPM;130a. Quissamã ; 90 ; 89 ; 90 ; 75 ; 85 ; 70 ; 80 ; 92 ; 80 ; 93 ; 81 ; 70 ; 995 ;
;25º BPM;132a. Arraial do Cabo; 170 ; 159 ; 118 ; 117 ; 147 ; 139 ; 142 ; 145 ; 144 ; 113 ; 119 ; 148 ; 1.661 ;
;8º BPM;134a. Campos; 768 ; 701 ; 896 ; 794 ; 849 ; 808 ; 981 ; 877 ; 826 ; 938 ; 753 ; 902 ; 10.093 ;
;36º BPM;135a. Itaocara; 62 ; 78 ; 83 ; 68 ; 86 ; 60 ; 67 ; 73 ; 89 ; 90 ; 77 ; 78 ; 911 ;
;36º BPM;136a. Santo Antonio de Pádua; 139 ; 168 ; 142 ; 167 ; 153 ; 141 ; 152 ; 119 ; 147 ; 171 ; 148 ; 165 ; 1.812 ;
;36º BPM;137a. Miracema; 100 ; 94 ; 89 ; 77 ; 84 ; 78 ; 85 ; 73 ; 78 ; 59 ; 76 ; 70 ; 963 ;
;29º BPM;138a. Lajes de Muriaré; 33 ; 42 ; 22 ; 23 ; 28 ; 22 ; 17 ; 30 ; 30 ; 36 ; 26 ; 31 ; 340 ;
;29º BPM;139a. Porciúncula; 85 ; 81 ; 87 ; 97 ; 88 ; 72 ; 74 ; 84 ; 73 ; 72 ; 67 ; 48 ; 928 ;
;29º BPM;140a. Natividade ; 64 ; 75 ; 72 ; 72 ; 76 ; 68 ; 86 ; 80 ; 55 ; 67 ; 66 ; 53 ; 834 ;
;8º BPM;141a. São Fidelis; 60 ; 85 ; 97 ; 85 ; 102 ; 82 ; 56 ; 89 ; 77 ; 102 ; 85 ; 61 ; 981 ;
;36º BPM;142a. Cambucí; 25 ; 34 ; 31 ; 32 ; 35 ; 34 ; 24 ; 40 ; 71 ; 49 ; 49 ; 25 ; 449 ;
;29º BPM;143a. Itaperuna; 273 ; 272 ; 360 ; 331 ; 337 ; 274 ; 361 ; 354 ; 329 ; 338 ; 270 ; 340 ; 3.839 ;
;29º BPM;144a. Bom Jesus Itabapoana ; 92 ; 126 ; 121 ; 133 ; 118 ; 114 ; 130 ; 160 ; 179 ; 131 ; 108 ; 128 ; 1.540 ;
;8º BPM;145a. São João da Barra; 180 ; 150 ; 114 ; 89 ; 109 ; 113 ; 118 ; 108 ; 119 ; 124 ; 117 ; 134 ; 1.475 ;
;8º BPM;146a. Guarus; 372 ; 359 ; 398 ; 404 ; 406 ; 362 ; 397 ; 389 ; 354 ; 439 ; 397 ; 359 ; 4.636 ;
;8º BPM;147a. São Francisco de Itabapoana; 111 ; 128 ; 112 ; 88 ; 87 ; 72 ; 69 ; 99 ; 87 ; 91 ; 95 ; 85 ; 1.124 ;
;29º BPM;148a. Italva ; 71 ; 84 ; 78 ; 63 ; 54 ; 58 ; 80 ; 76 ; 109 ; 110 ; 70 ; 107 ; 960 ;
;11º BPM;151a. Nova Friburgo; 607 ; 627 ; 636 ; 528 ; 527 ; 538 ; 564 ; 539 ; 521 ; 575 ; 483 ; 564 ; 6.709 ;
;11º BPM;152a. Duas Barras; 25 ; 32 ; 41 ; 27 ; 42 ; 24 ; 26 ; 40 ; 20 ; 26 ; 15 ; 31 ; 349 ;
;11º BPM;153a. Cantagalo; 50 ; 52 ; 59 ; 36 ; 51 ; 49 ; 58 ; 56 ; 53 ; 55 ; 43 ; 42 ; 604 ;
;11º BPM;154a. Cordeiro; 61 ; 61 ; 69 ; 64 ; 79 ; 75 ; 103 ; 73 ; 61 ; 78 ; 73 ; 76 ; 873 ;
;36º BPM;155a. São Sebastião do Alto; 25 ; 16 ; 24 ; 19 ; 19 ; 21 ; 24 ; 10 ; 27 ; 28 ; 14 ; 23 ; 250 ;
;11º BPM;156a. Santa Maria Madalena; 29 ; 28 ; 26 ; 28 ; 23 ; 26 ; 15 ; 25 ; 25 ; 30 ; 20 ; 25 ; 300 ;
;11º BPM;157a. Trajano de Morais; 25 ; 30 ; 22 ; 18 ; 30 ; 19 ; 20 ; 24 ; 37 ; 30 ; 19 ; 16 ; 290 ;
;11º BPM;158a. Bom Jardim; 55 ; 45 ; 37 ; 35 ; 39 ; 51 ; 69 ; 53 ; 55 ; 66 ; 64 ; 61 ; 630 ;
;35º BPM;159a. Cachoeira de Macacú; 173 ; 158 ; 137 ; 151 ; 149 ; 176 ; 174 ; 153 ; 176 ; 162 ; 142 ; 135 ; 1.886 ;
;33º BPM;165a. Mangaratiba; 195 ; 231 ; 180 ; 125 ; 123 ; 143 ; 152 ; 152 ; 151 ; 125 ; 143 ; 167 ; 1.887 ;
;33º BPM;166a. Angra dos Reis; 478 ; 504 ; 440 ; 442 ; 459 ; 455 ; 493 ; 499 ; 424 ; 411 ; 499 ; 431 ; 5.535 ;
;33º BPM;167a. Paratí; 204 ; 171 ; 146 ; 146 ; 157 ; 143 ; 183 ; 175 ; 204 ; 163 ; 172 ; 201 ; 2.065 ;
;33º BPM;168a. Rio Claro ; 46 ; 59 ; 47 ; 54 ; 40 ; 65 ; 51 ; 68 ; 56 ; 43 ; 47 ; 57 ; 633 ;
;TOTAL MENSAL;; 68.533 ; 69.275 ; 68.711 ; 64.364 ; 65.812 ; 64.870 ; 67.139 ; 70.024 ; 67.976 ; 70.770 ; 66.725 ; 67.283 ; 811.482 ;
;;;;;;;;;;;;;;;;
Fonte: elaborado pelo ISP com base em informações da PCERJ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
