UF;cdmun;NOME;Valor;
RJ;330010;Angra dos Reis;169511;
RJ;330015;Aperibé;10213;
RJ;330020;Araruama;112008;
RJ;330022;Areal;11423;
RJ;330023;Armação dos Búzios;27560;
RJ;330025;Arraial do Cabo;27715;
RJ;330030;Barra do Piraí;94778;
RJ;330040;Barra Mansa;177813;
RJ;330045;Belford Roxo;469332;
RJ;330050;Bom Jardim;25333;
RJ;330060;Bom Jesus do Itabapoana;35411;
RJ;330070;Cabo Frio;186227;
RJ;330080;Cachoeiras de Macacu;54273;
RJ;330090;Cambuci;14827;
RJ;330093;Carapebus;13359;
RJ;330095;Comendador Levy Gasparian;8180;
RJ;330100;Campos dos Goytacazes;463731;
RJ;330110;Cantagalo;19830;
RJ;330115;Cardoso Moreira;12600;
RJ;330120;Carmo;17434;
RJ;330130;Casimiro de Abreu;35347;
RJ;330140;Conceição de Macabu;21211;
RJ;330150;Cordeiro;20430;
RJ;330160;Duas Barras;10930;
RJ;330170;Duque de Caxias;855048;
RJ;330180;Engenheiro Paulo de Frontin;13237;
RJ;330185;Guapimirim;51483;
RJ;330187;Iguaba Grande;22851;
RJ;330190;Itaboraí;218008;
RJ;330200;Itaguaí;109091;
RJ;330205;Italva;14063;
RJ;330210;Itaocara;22899;
RJ;330220;Itaperuna;95841;
RJ;330225;Itatiaia;28783;
RJ;330227;Japeri;95492;
RJ;330230;Laje do Muriaé;7487;
RJ;330240;Macaé;206728;
RJ;330245;Macuco;5269;
RJ;330250;Magé;227322;
RJ;330260;Mangaratiba;36456;
RJ;330270;Maricá;127461;
RJ;330280;Mendes;17935;
RJ;330285;Mesquita;168376;
RJ;330290;Miguel Pereira;24642;
RJ;330300;Miracema;26843;
RJ;330310;Natividade;15082;
RJ;330320;Nilópolis;157425;
RJ;330330;Niterói;487562;
RJ;330340;Nova Friburgo;182082;
RJ;330350;Nova Iguaçu;796257;
RJ;330360;Paracambi;47124;
RJ;330370;Paraíba do Sul;41084;
RJ;330380;Paraty;37533;
RJ;330385;Paty do Alferes;26359;
RJ;330390;Petrópolis;295917;
RJ;330395;Pinheiral;22719;
RJ;330400;Piraí;26314;
RJ;330410;Porciúncula;17760;
RJ;330411;Porto Real;16592;
RJ;330412;Quatis;12793;
RJ;330414;Queimados;137962;
RJ;330415;Quissamã;20242;
RJ;330420;Resende;119769;
RJ;330430;Rio Bonito;55551;
RJ;330440;Rio Claro;17425;
RJ;330450;Rio das Flores;8561;
RJ;330452;Rio das Ostras;105676;
RJ;330455;Rio de Janeiro;6320446;
RJ;330460;Santa Maria Madalena;10321;
RJ;330470;Santo Antônio de Pádua;40589;
RJ;330475;São Francisco de Itabapoana;41354;
RJ;330480;São Fidélis;37543;
RJ;330490;São Gonçalo;999728;
RJ;330500;São João da Barra;32747;
RJ;330510;São João de Meriti;458673;
RJ;330513;São José de Ubá;7003;
RJ;330515;São José do Vale do Rio Preto;20251;
RJ;330520;São Pedro da Aldeia;87875;
RJ;330530;São Sebastião do Alto;8895;
RJ;330540;Sapucaia;17525;
RJ;330550;Saquarema;74234;
RJ;330555;Seropédica;78186;
RJ;330560;Silva Jardim;21349;
RJ;330570;Sumidouro;14900;
RJ;330575;Tanguá;30732;
RJ;330580;Teresópolis;163746;
RJ;330590;Trajano de Moraes;10289;
RJ;330600;Três Rios;77432;
RJ;330610;Valença;71843;
RJ;330615;Varre-Sai;9475;
RJ;330620;Vassouras;34410;
RJ;330630;Volta Redonda;257803;