AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;535;601;621;370;392;371;413;344;401;372;393;371;5184 
5;004;990;1082;1137;979;987;1017;1135;1121;1194;1227;1086;1166;13121 
5;005;1378;1351;1863;1017;1124;1314;1488;1225;1143;1134;1125;1170;15332 
4;006;546;549;603;527;500;423;420;464;540;561;526;473;6132 
5;007;220;222;234;178;169;172;204;186;207;186;170;170;2318 
2;009;885;789;1038;553;536;590;579;576;585;589;601;561;7882 
2;010;785;792;854;838;721;750;717;696;720;679;704;780;9036 
23;011;259;202;222;128;172;161;178;172;168;175;179;150;2166 
19;012;1918;1009;1087;882;785;1857;2233;782;796;879;960;959;14147 
19;013;616;529;632;427;434;502;540;454;452;455;483;435;5959 
23;014;928;999;1630;656;661;632;686;663;629;690;601;696;9471 
23;015;450;505;455;353;357;372;379;343;353;359;384;327;4637 
31;016;1329;1215;1210;1166;1123;1067;1080;1035;1082;1166;1221;1272;13966 
4;017;869;788;839;813;779;710;745;780;731;793;701;679;9227 
4;018;505;524;557;611;546;936;713;513;504;537;587;468;7001 
6;019;734;728;767;724;748;798;789;709;695;714;655;653;8714 
6;020;687;681;619;657;634;586;565;561;596;631;542;552;7311 
22;021;1706;1386;1438;1544;1525;1259;1559;1312;1413;1242;1224;1372;16980 
16;022;1115;935;856;788;815;787;815;783;871;863;896;801;10325 
3;023;725;728;822;766;786;694;718;727;822;845;773;742;9148 
3;024;494;443;487;430;425;414;402;403;450;569;472;460;5449 
3;025;736;710;986;1105;1070;900;968;879;941;906;765;624;10590 
3;026;508;435;456;467;485;491;488;449;482;482;446;447;5636 
41;027;893;801;871;798;903;891;798;773;844;919;931;908;10330 
9;028;743;666;738;710;686;631;761;685;703;724;1203;717;8967 
9;029;893;862;846;872;862;808;883;849;844;873;926;995;10513 
9;030;641;605;595;662;610;622;621;564;531;604;610;613;7278 
41;031;670;637;643;612;594;602;622;628;618;695;713;724;7758 
18;032;1610;1503;1480;1486;1355;1319;1376;1336;1489;1588;1487;1487;17516 
14;033;1087;1032;1103;1032;1032;999;1032;1059;1020;1201;1043;1058;12698 
14;034;1877;1802;1877;1668;1717;1720;1833;1587;1856;1847;1875;1738;21397 
40;035;2237;1866;2022;1846;1837;1838;1866;1730;1987;1922;1989;2126;23266 
27;036;1094;1038;1043;1001;916;893;947;1009;1006;940;883;874;11644 
17;037;919;859;890;838;863;766;818;810;873;802;798;827;10063 
16;038;776;727;735;704;705;707;725;730;757;749;800;758;8873 
41;039;929;821;983;857;851;824;828;792;911;932;800;849;10377 
9;040;576;578;622;671;595;612;618;625;593;643;623;696;7452 
18;041;608;559;576;602;520;507;547;514;566;611;584;537;6731 
31;042;1068;780;859;801;803;722;798;692;865;761;768;887;9804 
27;043;549;509;463;436;417;375;415;448;488;512;508;489;5609 
3;044;523;493;488;556;430;462;474;475;448;500;496;486;5831 
16;045;127;150;174;158;150;127;132;160;174;130;182;127;1791 
24;048;257;236;247;257;258;234;257;279;257;259;220;271;3032 
24;050;463;441;502;467;438;443;528;471;426;453;476;492;5600 
24;051;121;110;136;125;135;148;143;142;137;167;129;110;1603 
20;052;997;994;954;1012;1034;933;1015;1014;1029;1042;966;964;11954 
20;053;718;705;659;619;666;589;613;675;712;650;613;693;7912 
39;054;1374;1190;1155;1176;1110;1205;1195;1113;1264;1233;1093;1159;14267 
24;055;601;504;556;491;541;521;502;515;489;568;589;536;6413 
20;056;967;881;918;803;878;798;867;887;923;933;868;863;10586 
20;057;896;834;745;724;870;736;717;771;746;790;698;770;9297 
20;058;1293;1182;1157;1186;1163;1231;1174;1155;1262;1250;1040;1212;14305 
15;059;2527;2213;2050;1956;1888;1974;1916;1893;1898;1950;1771;1900;23936 
15;060;1001;936;855;1051;1059;911;972;925;857;870;799;856;11092 
15;061;154;142;159;153;177;166;146;182;203;202;200;194;2078 
15;062;606;609;568;586;539;491;491;511;567;553;521;558;6600 
24;063;302;308;298;291;319;311;297;302;323;362;343;376;3832 
21;064;2004;1796;1841;1887;1865;1808;1757;1640;1721;1886;1760;1923;21888 
34;065;352;351;363;322;293;273;294;277;330;302;255;320;3732 
34;066;521;442;440;401;363;344;431;463;547;476;448;416;5292 
34;067;143;152;167;186;180;167;127;149;197;185;179;172;2004 
35;070;119;96;113;91;77;94;93;91;94;69;74;76;1087 
35;071;921;822;841;748;791;752;718;772;756;749;670;780;9320 
7;072;1346;1213;1246;1228;1265;1122;1052;1165;1099;1108;1007;1153;14004 
7;073;999;957;927;922;888;866;845;873;897;813;744;859;10590 
7;074;1599;1456;1319;1357;1335;1382;1463;1301;1289;1311;1270;1358;16440 
7;075;617;556;603;511;526;563;573;629;569;564;524;591;6826 
12;076;813;850;859;852;865;725;869;907;851;861;828;803;10083 
12;077;600;556;505;540;519;507;522;537;459;486;462;532;6225 
12;078;643;585;542;663;569;557;529;548;498;555;610;635;6934 
12;079;306;258;234;256;244;230;264;289;260;223;204;256;3024 
12;081;512;464;405;352;362;340;341;344;392;376;380;371;4639 
12;082;576;586;607;529;482;444;489;488;515;531;572;595;6414 
10;087;-;-;-;-;-;-;-;-;-;-;-;-;- 
10;088;252;240;243;247;284;260;248;237;293;301;232;250;3087 
37;089;524;534;511;521;524;476;459;492;529;431;409;434;5844 
28;090;430;413;532;459;443;364;381;386;400;415;394;412;5029 
10;091;159;151;142;133;136;131;163;159;192;204;162;142;1874 
10;092;22;23;24;14;25;23;23;20;19;20;36;19;268 
28;093;751;733;822;747;720;764;696;710;743;633;733;723;8775 
10;094;94;89;117;78;95;84;78;86;101;113;107;121;1163 
10;095;90;94;95;89;91;81;70;86;105;75;104;86;1066 
10;096;114;137;132;133;124;169;168;162;195;169;163;138;1804 
10;097;54;55;67;59;57;39;47;43;43;37;43;64;608 
10;098;37;47;53;36;28;35;37;55;43;43;40;28;482 
37;099;282;235;243;223;290;217;220;278;293;277;273;228;3059 
37;100;88;92;100;95;82;68;83;84;65;67;65;62;951 
28;101;96;112;108;103;71;94;84;84;80;83;75;77;1067 
30;104;38;54;47;28;32;20;27;22;33;32;42;42;417 
26;105;564;578;546;503;578;518;477;558;555;624;581;557;6639 
26;106;134;171;164;129;168;155;169;155;176;177;179;184;1961 
38;107;116;147;143;100;94;106;117;118;136;98;85;89;1349 
38;108;454;446;339;317;374;303;390;489;443;404;362;370;4691 
38;109;45;47;53;52;39;74;141;110;67;68;52;55;803 
30;110;460;389;396;396;394;427;397;448;523;558;528;558;5474 
30;111;30;65;30;53;46;37;33;36;37;45;34;42;488 
30;112;102;60;87;81;65;78;79;54;65;52;58;66;847 
25;118;484;428;470;396;350;363;394;476;496;465;439;440;5201 
35;119;177;167;173;150;179;127;150;164;169;143;141;178;1918 
35;120;71;62;74;58;46;80;71;77;58;80;62;50;789 
32;121;134;141;215;141;152;152;151;146;195;144;124;132;1827 
32;122;54;60;62;48;70;45;45;61;62;68;59;63;697 
32;123;893;824;828;846;787;770;925;816;845;870;856;793;10053 
25;124;405;305;345;316;286;273;284;271;287;313;269;347;3701 
25;125;278;271;276;243;264;238;255;263;250;268;254;254;3114 
25;126;1111;1013;1065;853;807;707;762;754;796;803;814;927;10412 
25;127;311;217;254;249;216;196;220;225;410;243;243;263;3047 
32;128;652;546;723;569;547;489;494;539;559;614;536;520;6788 
25;129;126;94;103;100;94;96;73;84;90;105;87;106;1158 
32;130;79;91;85;81;87;93;112;77;73;103;73;75;1029 
25;132;176;119;115;110;114;80;110;102;87;124;88;111;1336 
8;134;913;958;937;870;871;923;952;972;891;977;943;893;11100 
36;135;88;94;101;118;85;80;94;103;107;100;97;82;1149 
36;136;188;162;180;238;223;231;186;176;201;227;174;149;2335 
36;137;95;97;121;119;133;114;113;109;114;112;117;112;1356 
29;138;29;25;25;20;23;23;16;30;23;28;36;21;299 
29;139;69;64;91;78;73;63;74;86;78;63;61;95;895 
29;140;48;59;50;46;64;62;47;48;59;74;62;53;672 
8;141;99;86;121;106;87;88;76;109;104;125;99;96;1196 
36;142;44;42;40;42;37;24;35;35;44;40;35;39;457 
29;143;328;335;325;343;330;320;242;296;299;313;351;374;3856 
29;144;115;141;146;154;120;118;127;134;132;142;121;144;1594 
8;145;195;144;152;138;132;103;109;143;171;150;122;125;1684 
8;146;507;457;529;521;434;427;375;420;442;410;375;479;5376 
8;147;121;78;125;103;98;68;72;90;95;96;113;91;1150 
29;148;57;87;58;77;75;90;70;80;80;84;58;61;877 
11;151;788;854;743;715;603;600;617;718;714;681;672;618;8323 
11;152;45;41;34;28;34;29;37;36;34;42;29;27;416 
11;153;68;88;103;85;58;65;85;62;54;78;58;66;870 
11;154;69;75;44;72;54;40;88;64;76;105;70;79;836 
36;155;27;27;15;38;28;18;18;23;18;23;34;19;288 
11;156;30;30;32;26;33;25;23;23;46;32;26;31;357 
11;157;36;27;39;27;31;20;28;30;22;29;28;25;342 
11;158;61;45;45;59;44;56;57;76;64;68;53;47;675 
35;159;185;159;147;167;151;160;151;165;158;195;157;201;1996 
33;165;183;191;180;146;115;129;123;152;150;165;190;173;1897 
33;166;563;528;574;451;477;469;439;471;478;548;501;530;6029 
33;167;266;207;219;210;190;155;172;180;184;189;173;157;2302 
33;168;48;47;57;40;45;53;42;51;56;56;37;54;586