NOBP;AISP;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;total
2;AISP02;1367;1482;1321;1360;1250;1127;1150;1128;1160;1310;1230;1651;15536
10;AISP10;885;840;859;799;842;823;815;865;679;840;804;795;9846
11;AISP11;851;832;880;845;903;911;915;938;904;921;905;872;10677
12;AISP12;3325;2995;3494;2899;3070;2833;3008;2911;2889;2874;2795;3004;36097
14;AISP14;3010;2676;3108;2765;2610;2370;2486;2595;2517;2669;2498;2552;31856
15;AISP15;3351;2796;3353;3035;3115;3082;3281;3145;3165;3184;3226;3343;38076
16;AISP16;1654;1457;1771;1625;1610;1468;1627;1532;1412;1653;1683;1624;19116
17;AISP17;813;785;836;741;894;706;737;680;701;790;695;763;9141
18;AISP18;2096;1777;2111;1911;1928;1741;1867;1800;1821;1877;1821;1918;22668
19;AISP19;2301;1622;1391;1199;1180;1039;1029;1134;1162;1177;1200;1463;15897
20;AISP20;4692;4146;4800;4766;4709;4355;4241;4379;4228;4255;4604;4682;53857
21;AISP21;1901;1605;1768;1647;1641;1656;1639;1567;1558;1656;1667;1696;20001
22;AISP22;1316;1054;1158;1035;1319;1203;1274;1246;1169;1155;1156;1197;14282
23;AISP23;1486;2393;1162;1050;1097;1069;1073;1099;1101;998;950;1429;14907
24;AISP24;1935;1556;1912;1714;1731;1672;1757;1799;1719;1739;1688;1804;21026
25;AISP25;2777;2594;2382;2151;2045;2115;2126;2080;2051;2204;2174;2253;26952
26;AISP26;746;659;764;813;810;732;814;780;807;827;844;853;9449
27;AISP27;1459;1321;1662;1422;1425;1429;1290;1321;1250;1419;1439;1519;16956
28;AISP28;1136;1036;1362;1229;1185;1190;1344;1297;1196;1268;1228;1336;14807
29;AISP29;690;671;718;667;640;649;687;678;646;689;697;684;8116
30;AISP30;587;616;683;647;664;650;733;709;749;784;808;852;8482
31;AISP31;2480;1865;2093;1876;1832;1762;1825;1836;3303;1858;1797;2006;24533
32;AISP32;1783;1715;1785;1792;1521;1430;1450;1475;1547;1515;1491;1706;19210
33;AISP33;1097;942;986;840;831;682;858;856;843;841;773;887;10436
34;AISP34;956;831;864;774;796;755;824;837;772;909;918;874;10110
35;AISP35;1293;1077;1160;1139;1113;1036;1074;1144;1063;1130;1156;1182;13567
36;AISP36;425;388;376;367;462;372;411;395;375;401;393;359;4724
37;AISP37;744;657;768;639;652;615;740;749;804;708;761;675;8512
38;AISP38;507;496;565;544;499;570;570;538;509;592;561;516;6467
39;AISP39;1301;999;1190;1063;1136;950;943;1027;1021;1077;1058;1078;12843
3;AISP03;3240;2880;3077;2825;2830;2662;2783;2721;2778;2802;2853;3048;34499
40;AISP40;1953;1752;2053;1884;1884;1887;1907;1834;1783;1924;1870;1974;22705
41;AISP41;2671;2321;2660;2380;2440;2255;2392;2356;2292;2361;2315;2507;28950
4;AISP04;1656;1806;1938;1755;1966;1917;1899;1745;1693;1893;1737;1816;21821
5;AISP05;3225;4238;2911;2607;2717;2478;2721;2974;2845;2792;2660;2909;35077
6;AISP06;1297;1174;1358;1175;1350;1265;1252;1177;1155;1203;1169;1324;14899
7;AISP07;4139;3438;3971;3430;3632;3121;3611;3469;3350;3640;3453;3581;42835
8;AISP08;1579;1374;1668;1557;1563;1614;1707;1582;1507;1624;1507;1553;18835
9;AISP09;2964;2794;2970;2772;2971;2883;2905;2775;2803;3039;2846;3227;34949